run_id,scheduled_order,arm,status,parser_correct,strict_correct,parser_status,reasoning_output_tokens,reasoning_tokens_is_516,reasoning_tokens_is_518n_minus_2,input_tokens,cached_input_tokens,output_tokens,wall_ms,ttft_ms,tokens_per_second,final_text_sha256,final_integer_candidate,contains_21,contains_516_text
run-0001-control,1,control,completed,True,True,resolved,6565,False,False,9991,7552,6934,130638,130335,53.07797118755645,538bd8702b66c77b02a99c6a93e64e2b720d1dfb22d4044213c4faeed6599804,21,True,False
run-0002-treatment,2,treatment,completed,True,True,resolved,9087,False,False,10006,2432,9421,176252,175073,53.45187572339604,197b3c50b54dcf4bd6173496d594b53de48cdbb4af8b6333b634916ebaba6295,21,True,False
run-0003-treatment,3,treatment,completed,False,False,resolved,516,True,True,10006,9088,1290,30309,28806,42.56161536177373,4cb8f0bfc422de73cd8caff8f8d109c12c42d8a398f3327d5d2a55b2cec0fa1a,28,False,False
run-0004-control,4,control,completed,True,True,resolved,4660,False,True,9991,9088,5087,104488,18563,48.68501646122043,ebc5d59c69081eb349d11ad28afa73fc8fb470c005ffce091dd230912057eb52,21,True,False
run-0005-control,5,control,completed,True,True,resolved,11912,False,True,9991,9088,12285,228255,226893,53.82138397844516,2845c9732ddd99585e2f7c51de7f66da1d3c5ff8038093dc96726ec397ff6fa4,21,True,False
run-0006-treatment,6,treatment,completed,True,True,resolved,7382,False,False,10006,4480,7730,144616,144299,53.45190020467997,27754dc965c76e2d5bb74ba50b0c9dd6eb84c4b53a4bafcf08650c2a12a2bb55,21,True,False
run-0007-control,7,control,completed,False,False,resolved,1552,False,True,9991,7552,1853,40702,15818,45.52601837747531,cf850413d6abd1c1ffba36535cdfb9c5007c68fc3097743e6aa5030f670d1712,29,False,False
run-0008-treatment,8,treatment,completed,True,True,resolved,5405,False,False,10006,7552,5730,108908,108597,52.61321482352077,570eeca3eacf04f261666a22d7296324abe7dd03be772dbe82f6724adce18ad4,21,True,False
run-0009-treatment,9,treatment,completed,True,True,resolved,4142,False,True,10006,9600,4504,84492,84173,53.30682194764001,5b4c7c4c2f7919db9f779b8963c4898e83230fcbe475e6f21f9249d654d68148,21,True,False
run-0010-control,10,control,completed,True,True,resolved,7717,False,False,9991,9600,8161,153826,13813,53.05345000195026,c4d369b1d849e68530e8691d1189ea632fa729f75ac0f4f64e112a713bd503c5,21,True,False
run-0011-control,11,control,completed,True,True,resolved,11971,False,False,9991,4480,12413,235640,234392,52.67781361398744,3903fc00b1570776a0b50fc15b3b2d3f6b83aea74b29d2704db829541d47bde3,21,True,False
run-0012-treatment,12,treatment,completed,False,False,resolved,516,True,True,10006,9600,1159,28263,26782,41.00767788274422,0cbb6e443219e944d18cac6bb4f1c63bdcfc3348f6ea5210d96980d9ea5f66ba,29,False,False
run-0013-treatment,13,treatment,completed,False,False,resolved,1034,False,True,10006,7552,1289,32222,30769,40.00372416361492,918f9c9d0897bb83c5de1a8e8f24edf905c29a4d1a2b75c2f0e8bd1cf96446cd,29,False,False
run-0014-control,14,control,completed,True,True,resolved,5663,False,False,9991,9600,6053,112252,13815,53.923315397498484,53d7b36675a3a24c10735921eed834075abeda8bad8010ed313937b3f3ed34af,21,True,False
run-0015-control,15,control,completed,True,True,resolved,7232,False,False,9991,9600,7574,139904,139589,54.13712259835316,f521f4b74c68d265975b41b6d572b80cbb6a243df6d70dad0201a6ac12d26507,21,True,False
run-0016-treatment,16,treatment,completed,True,True,resolved,13416,False,False,10006,7552,13679,275197,274389,49.7062104601431,414a5e1b50800bd8e897502d040362b88be46a6d13cddd26e8421d7ef3cca6e7,21,True,False
run-0017-control,17,control,completed,True,True,resolved,6732,False,True,9991,9600,7118,131998,131652,53.92505947059804,e35cf989b6697d5d281f7c3e7be61eee2f0f53b17f75c1594d4588fc0fbd4455,21,True,False
run-0018-treatment,18,treatment,completed,True,True,resolved,6649,False,False,10006,9600,7098,131182,130823,54.108033114299225,60165b468e2bcbf920e7ea83d7afbf7a30ec0809d23ae64efe047f1d4f51a4c7,21,True,False
