batch,model,reasoning_effort,correct_source,run_id,scheduled_order,arm,correct,parser_status,reasoning_output_tokens,reasoning_tokens_is_516,reasoning_tokens_is_1034,reasoning_tokens_is_518n_minus_2,lattice_n,lattice_residual,final_integer_candidate
gpt-5.3-codex-spark-xhigh,gpt-5.3-codex-spark,xhigh,strict_correct,run-0001-control,1,control,False,resolved,4407,False,False,False,,-253,29
gpt-5.3-codex-spark-xhigh,gpt-5.3-codex-spark,xhigh,strict_correct,run-0002-treatment,2,treatment,False,resolved,3754,False,False,False,,130,29
gpt-5.3-codex-spark-xhigh,gpt-5.3-codex-spark,xhigh,strict_correct,run-0003-treatment,3,treatment,False,resolved,2413,False,False,False,,-175,29
gpt-5.3-codex-spark-xhigh,gpt-5.3-codex-spark,xhigh,strict_correct,run-0004-control,4,control,False,resolved,5759,False,False,False,,63,29
gpt-5.3-codex-spark-xhigh,gpt-5.3-codex-spark,xhigh,strict_correct,run-0005-control,5,control,False,resolved,2509,False,False,False,,-79,29
gpt-5.3-codex-spark-xhigh,gpt-5.3-codex-spark,xhigh,strict_correct,run-0006-treatment,6,treatment,False,resolved,4466,False,False,False,,-194,29
gpt-5.3-codex-spark-xhigh,gpt-5.3-codex-spark,xhigh,strict_correct,run-0007-control,7,control,False,resolved,3679,False,False,False,,55,29
gpt-5.3-codex-spark-xhigh,gpt-5.3-codex-spark,xhigh,strict_correct,run-0008-treatment,8,treatment,False,resolved,3527,False,False,False,,-97,29
gpt-5.3-codex-spark-xhigh,gpt-5.3-codex-spark,xhigh,strict_correct,run-0009-treatment,9,treatment,False,resolved,2950,False,False,False,,-156,29
gpt-5.3-codex-spark-xhigh,gpt-5.3-codex-spark,xhigh,strict_correct,run-0010-control,10,control,False,resolved,3434,False,False,False,,-190,29
gpt-5.3-codex-spark-xhigh,gpt-5.3-codex-spark,xhigh,strict_correct,run-0011-control,11,control,False,resolved,6950,False,False,False,,218,29
gpt-5.3-codex-spark-xhigh,gpt-5.3-codex-spark,xhigh,strict_correct,run-0012-treatment,12,treatment,False,resolved,2787,False,False,False,,199,29
gpt-5.3-codex-spark-xhigh,gpt-5.3-codex-spark,xhigh,strict_correct,run-0013-treatment,13,treatment,False,resolved,3237,False,False,False,,131,29
gpt-5.3-codex-spark-xhigh,gpt-5.3-codex-spark,xhigh,strict_correct,run-0014-control,14,control,False,resolved,6551,False,False,False,,-181,29
gpt-5.3-codex-spark-xhigh,gpt-5.3-codex-spark,xhigh,strict_correct,run-0015-control,15,control,False,resolved,2530,False,False,False,,-58,29
gpt-5.3-codex-spark-xhigh,gpt-5.3-codex-spark,xhigh,strict_correct,run-0016-treatment,16,treatment,False,resolved,3122,False,False,False,,16,29
gpt-5.3-codex-spark-xhigh,gpt-5.3-codex-spark,xhigh,strict_correct,run-0017-control,17,control,False,resolved,4282,False,False,False,,140,29
gpt-5.3-codex-spark-xhigh,gpt-5.3-codex-spark,xhigh,strict_correct,run-0018-treatment,18,treatment,False,resolved,5121,False,False,False,,-57,29
gpt-5.3-codex-spark-xhigh,gpt-5.3-codex-spark,xhigh,strict_correct,run-0019-treatment,19,treatment,False,resolved,3421,False,False,False,,-203,29
gpt-5.3-codex-spark-xhigh,gpt-5.3-codex-spark,xhigh,strict_correct,run-0020-control,20,control,False,resolved,2183,False,False,False,,113,29
gpt-5.3-codex-spark-xhigh,gpt-5.3-codex-spark,xhigh,strict_correct,run-0021-treatment,21,treatment,False,resolved,3243,False,False,False,,137,29
gpt-5.3-codex-spark-xhigh,gpt-5.3-codex-spark,xhigh,strict_correct,run-0022-control,22,control,False,resolved,2958,False,False,False,,-148,29
gpt-5.3-codex-spark-xhigh,gpt-5.3-codex-spark,xhigh,strict_correct,run-0023-treatment,23,treatment,False,resolved,2644,False,False,False,,56,29
gpt-5.3-codex-spark-xhigh,gpt-5.3-codex-spark,xhigh,strict_correct,run-0024-control,24,control,False,resolved,3720,False,False,False,,96,29
gpt-5.3-codex-spark-xhigh,gpt-5.3-codex-spark,xhigh,strict_correct,run-0025-control,25,control,False,resolved,5224,False,False,False,,46,29
gpt-5.3-codex-spark-xhigh,gpt-5.3-codex-spark,xhigh,strict_correct,run-0026-treatment,26,treatment,False,resolved,1992,False,False,False,,-78,29
gpt-5.3-codex-spark-xhigh,gpt-5.3-codex-spark,xhigh,strict_correct,run-0027-treatment,27,treatment,False,resolved,3088,False,False,False,,-18,29
gpt-5.3-codex-spark-xhigh,gpt-5.3-codex-spark,xhigh,strict_correct,run-0028-control,28,control,False,resolved,2105,False,False,False,,35,29
gpt-5.3-codex-spark-xhigh,gpt-5.3-codex-spark,xhigh,strict_correct,run-0029-control,29,control,False,resolved,4222,False,False,False,,80,32
gpt-5.3-codex-spark-xhigh,gpt-5.3-codex-spark,xhigh,strict_correct,run-0030-treatment,30,treatment,False,resolved,3139,False,False,False,,33,29
gpt-5.3-codex-spark-xhigh,gpt-5.3-codex-spark,xhigh,strict_correct,run-0031-control,31,control,False,resolved,2309,False,False,False,,239,29
gpt-5.3-codex-spark-xhigh,gpt-5.3-codex-spark,xhigh,strict_correct,run-0032-treatment,32,treatment,False,resolved,3148,False,False,False,,42,29
gpt-5.3-codex-spark-xhigh,gpt-5.3-codex-spark,xhigh,strict_correct,run-0033-control,33,control,False,resolved,2330,False,False,False,,-258,29
gpt-5.3-codex-spark-xhigh,gpt-5.3-codex-spark,xhigh,strict_correct,run-0034-treatment,34,treatment,False,resolved,1958,False,False,False,,-112,29
gpt-5.3-codex-spark-xhigh,gpt-5.3-codex-spark,xhigh,strict_correct,run-0035-control,35,control,False,resolved,4309,False,False,False,,167,29
gpt-5.3-codex-spark-xhigh,gpt-5.3-codex-spark,xhigh,strict_correct,run-0036-treatment,36,treatment,False,resolved,5435,False,False,False,,257,29
gpt-5.3-codex-spark-xhigh,gpt-5.3-codex-spark,xhigh,strict_correct,run-0037-treatment,37,treatment,False,resolved,3689,False,False,False,,65,29
gpt-5.3-codex-spark-xhigh,gpt-5.3-codex-spark,xhigh,strict_correct,run-0038-control,38,control,False,resolved,2987,False,False,False,,-119,29
gpt-5.3-codex-spark-xhigh,gpt-5.3-codex-spark,xhigh,strict_correct,run-0039-control,39,control,False,resolved,2987,False,False,False,,-119,29
gpt-5.3-codex-spark-xhigh,gpt-5.3-codex-spark,xhigh,strict_correct,run-0040-treatment,40,treatment,False,resolved,2790,False,False,False,,202,29
gpt-5.3-codex-spark-xhigh,gpt-5.3-codex-spark,xhigh,strict_correct,run-0041-control,41,control,False,ambiguous,3813,False,False,False,,189,29
gpt-5.3-codex-spark-xhigh,gpt-5.3-codex-spark,xhigh,strict_correct,run-0042-treatment,42,treatment,False,resolved,1742,False,False,False,,190,29
