batch,model,reasoning_effort,correct_source,run_id,scheduled_order,arm,correct,parser_status,reasoning_output_tokens,reasoning_tokens_is_516,reasoning_tokens_is_1034,reasoning_tokens_is_518n_minus_2,lattice_n,lattice_residual,final_integer_candidate
gpt-5.5-xhigh-20260629-retest-1414,gpt-5.5,xhigh,strict_correct,run-0001-control,1,control,True,resolved,3624,False,False,True,7,0,21
gpt-5.5-xhigh-20260629-retest-1414,gpt-5.5,xhigh,strict_correct,run-0002-treatment,2,treatment,False,resolved,516,True,False,True,1,0,35
gpt-5.5-xhigh-20260629-retest-1414,gpt-5.5,xhigh,strict_correct,run-0003-treatment,3,treatment,True,resolved,7250,False,False,True,14,0,21
gpt-5.5-xhigh-20260629-retest-1414,gpt-5.5,xhigh,strict_correct,run-0004-control,4,control,False,resolved,516,True,False,True,1,0,27
gpt-5.5-xhigh-20260629-retest-1414,gpt-5.5,xhigh,strict_correct,run-0005-control,5,control,False,resolved,516,True,False,True,1,0,29
gpt-5.5-xhigh-20260629-retest-1414,gpt-5.5,xhigh,strict_correct,run-0006-treatment,6,treatment,False,resolved,516,True,False,True,1,0,29
gpt-5.5-xhigh-20260629-retest-1414,gpt-5.5,xhigh,strict_correct,run-0007-control,7,control,False,resolved,516,True,False,True,1,0,22
gpt-5.5-xhigh-20260629-retest-1414,gpt-5.5,xhigh,strict_correct,run-0008-treatment,8,treatment,False,resolved,1034,False,True,True,2,0,29
gpt-5.5-xhigh-20260629-retest-1414,gpt-5.5,xhigh,strict_correct,run-0009-treatment,9,treatment,False,resolved,516,True,False,True,1,0,29
gpt-5.5-xhigh-20260629-retest-1414,gpt-5.5,xhigh,strict_correct,run-0010-control,10,control,True,resolved,8286,False,False,True,16,0,21
gpt-5.5-xhigh-20260629-retest-1414,gpt-5.5,xhigh,strict_correct,run-0011-control,11,control,False,resolved,516,True,False,True,1,0,27
gpt-5.5-xhigh-20260629-retest-1414,gpt-5.5,xhigh,strict_correct,run-0012-treatment,12,treatment,False,resolved,1034,False,True,True,2,0,29
gpt-5.5-xhigh-20260629-retest-1414,gpt-5.5,xhigh,strict_correct,run-0013-treatment,13,treatment,True,resolved,2588,False,False,True,5,0,21
