run_id,scheduled_order,arm,status,seed,model,model_reasoning_effort,provider_mode,parser_correct,parser_status,strict_correct,contains_21,contains_516_text,final_integer_candidate,final_text_sha256,final_text_length,input_tokens,cached_input_tokens,output_tokens,reasoning_output_tokens,reasoning_tokens_is_516,reasoning_tokens_is_518n_minus_2,lattice_n,lattice_residual,wall_ms,ttft_ms,ttft_kind,first_json_event_ms,first_final_message_ms,tokens_per_second,prompt_sha256,agents_sha256,process_start_at,process_end_at
run-0001-control,1,control,completed,20260628,gpt-5.5,xhigh,chatgpt_auth,True,resolved,True,True,False,21,508bdd50c115bbcf79e29f1e74ae802d51d422712f2de263b6cf640e3202e554,343,11379,9088,3917,3624,False,True,7,0,78444,17867,final_message,3712,17867,49.93371067258171,6eca5c454c9f9e4b7ce5c5c22c73a2335dc7f7a972098beed2d03c6bdf81c7dc,3d4eacfdc32f31acc1c8ce47d02b50a69bc25fbcf48b62c2a9f438d250e9a5c7,2026-06-29T06:14:29.711548Z,2026-06-29T06:15:48.155618Z
run-0002-treatment,2,treatment,completed,20260628,gpt-5.5,xhigh,chatgpt_auth,False,resolved,False,False,False,35,130b83ecdaf8e77bb92b5805e3f95250159f420817541a814d1711ba636f5145,573,11394,9088,920,516,True,True,1,0,26394,24183,final_message,3587,24183,34.85640675911192,6eca5c454c9f9e4b7ce5c5c22c73a2335dc7f7a972098beed2d03c6bdf81c7dc,8856400618621749d07364567a94c767d1e1f65e453fab1976a286752a70f4e5,2026-06-29T06:14:29.712530Z,2026-06-29T06:14:56.107016Z
run-0003-treatment,3,treatment,completed,20260628,gpt-5.5,xhigh,chatgpt_auth,True,resolved,True,True,False,21,1261fab6518c4605fa0fac21a8bae11c047a8631963a10c6d0a7cb46bc8b4e4d,179,11394,9088,7384,7250,False,True,14,0,145223,144917,final_message,2896,144917,50.84594038134455,6eca5c454c9f9e4b7ce5c5c22c73a2335dc7f7a972098beed2d03c6bdf81c7dc,8856400618621749d07364567a94c767d1e1f65e453fab1976a286752a70f4e5,2026-06-29T06:14:29.713362Z,2026-06-29T06:16:54.936834Z
run-0004-control,4,control,completed,20260628,gpt-5.5,xhigh,chatgpt_auth,False,resolved,False,False,False,27,a0987901e54023292fef774cb6186e272c92ef72158e76c9c0b5446af9702d2d,662,11379,9088,996,516,True,True,1,0,29998,28190,final_message,2141,28190,33.20221348089873,6eca5c454c9f9e4b7ce5c5c22c73a2335dc7f7a972098beed2d03c6bdf81c7dc,3d4eacfdc32f31acc1c8ce47d02b50a69bc25fbcf48b62c2a9f438d250e9a5c7,2026-06-29T06:14:29.714194Z,2026-06-29T06:14:59.711924Z
run-0005-control,5,control,completed,20260628,gpt-5.5,xhigh,chatgpt_auth,False,resolved,False,False,False,29,7e8027fa3686c694f5f9f914a229a080911c63840955b438f3a4ff8a65bd1019,687,11379,9088,996,516,True,True,1,0,27569,25274,final_message,1613,25274,36.12753454967536,6eca5c454c9f9e4b7ce5c5c22c73a2335dc7f7a972098beed2d03c6bdf81c7dc,3d4eacfdc32f31acc1c8ce47d02b50a69bc25fbcf48b62c2a9f438d250e9a5c7,2026-06-29T06:14:29.715213Z,2026-06-29T06:14:57.283997Z
run-0006-treatment,6,treatment,completed,20260628,gpt-5.5,xhigh,chatgpt_auth,False,resolved,False,False,False,29,492bbd512841af52481f9dc5fb90205819969eb01436f0093301d29f826569e9,265,11394,9088,708,516,True,True,1,0,23155,21288,final_message,2139,21288,30.576549341394944,6eca5c454c9f9e4b7ce5c5c22c73a2335dc7f7a972098beed2d03c6bdf81c7dc,8856400618621749d07364567a94c767d1e1f65e453fab1976a286752a70f4e5,2026-06-29T06:14:29.716425Z,2026-06-29T06:14:52.871854Z
run-0007-control,7,control,completed,20260628,gpt-5.5,xhigh,chatgpt_auth,False,resolved,False,False,False,22,2a76fdd235d4c7067dcaabef003354b671ff424a1a856d81195e156ce89c85b6,552,11379,9088,911,516,True,True,1,0,26162,24169,final_message,3471,24169,34.821496827459676,6eca5c454c9f9e4b7ce5c5c22c73a2335dc7f7a972098beed2d03c6bdf81c7dc,3d4eacfdc32f31acc1c8ce47d02b50a69bc25fbcf48b62c2a9f438d250e9a5c7,2026-06-29T06:14:29.717751Z,2026-06-29T06:14:55.879542Z
run-0008-treatment,8,treatment,completed,20260628,gpt-5.5,xhigh,chatgpt_auth,False,resolved,False,False,False,29,9f7e25767d5046dd5097b96de85bd3b5391060505e295c201d907a9f98adf773,277,11394,9088,1226,1034,False,True,2,0,31406,29770,final_message,2768,29770,39.037126663694835,6eca5c454c9f9e4b7ce5c5c22c73a2335dc7f7a972098beed2d03c6bdf81c7dc,8856400618621749d07364567a94c767d1e1f65e453fab1976a286752a70f4e5,2026-06-29T06:14:29.719151Z,2026-06-29T06:15:01.125537Z
run-0009-treatment,9,treatment,completed,20260628,gpt-5.5,xhigh,chatgpt_auth,False,resolved,False,False,False,29,5b5408eacaabd2b59a4f341ca3a87a1c6d67ce6c946435dfc6a9b949942cee45,201,11394,9088,658,516,True,True,1,0,18203,16536,final_message,441,16536,36.1478877108169,6eca5c454c9f9e4b7ce5c5c22c73a2335dc7f7a972098beed2d03c6bdf81c7dc,8856400618621749d07364567a94c767d1e1f65e453fab1976a286752a70f4e5,2026-06-29T06:14:52.873245Z,2026-06-29T06:15:11.076290Z
run-0010-control,10,control,completed,20260628,gpt-5.5,xhigh,chatgpt_auth,True,resolved,True,True,False,21,f95d36c3a4531ab1375ff0ad90a0b8d2878c3e8737b39941f1ef8bafa198e78c,354,11379,9088,8547,8286,False,True,16,0,159677,158009,final_message,441,158009,53.526807242120036,6eca5c454c9f9e4b7ce5c5c22c73a2335dc7f7a972098beed2d03c6bdf81c7dc,3d4eacfdc32f31acc1c8ce47d02b50a69bc25fbcf48b62c2a9f438d250e9a5c7,2026-06-29T06:14:55.880679Z,2026-06-29T06:17:35.557721Z
