batch,model,reasoning_effort,correct_source,run_id,scheduled_order,arm,correct,parser_status,reasoning_output_tokens,reasoning_tokens_is_516,reasoning_tokens_is_1034,reasoning_tokens_is_518n_minus_2,lattice_n,lattice_residual,final_integer_candidate
gpt-5.5-xhigh,gpt-5.5,xhigh,adjudicated_correct,run-0001-control,1,control,False,resolved,516,True,False,True,1,0,27
gpt-5.5-xhigh,gpt-5.5,xhigh,adjudicated_correct,run-0002-treatment,2,treatment,True,resolved,2588,False,False,True,5,0,21
gpt-5.5-xhigh,gpt-5.5,xhigh,adjudicated_correct,run-0003-treatment,3,treatment,False,resolved,516,True,False,True,1,0,36
gpt-5.5-xhigh,gpt-5.5,xhigh,adjudicated_correct,run-0004-control,4,control,False,resolved,516,True,False,True,1,0,27
gpt-5.5-xhigh,gpt-5.5,xhigh,adjudicated_correct,run-0005-control,5,control,False,resolved,516,True,False,True,1,0,29
gpt-5.5-xhigh,gpt-5.5,xhigh,adjudicated_correct,run-0006-treatment,6,treatment,False,resolved,516,True,False,True,1,0,29
gpt-5.5-xhigh,gpt-5.5,xhigh,adjudicated_correct,run-0007-control,7,control,True,resolved,7250,False,False,True,14,0,21
gpt-5.5-xhigh,gpt-5.5,xhigh,adjudicated_correct,run-0008-treatment,8,treatment,True,resolved,8797,False,False,False,,-7,21
gpt-5.5-xhigh,gpt-5.5,xhigh,adjudicated_correct,run-0009-treatment,9,treatment,False,resolved,516,True,False,True,1,0,29
gpt-5.5-xhigh,gpt-5.5,xhigh,adjudicated_correct,run-0010-control,10,control,False,resolved,516,True,False,True,1,0,28
gpt-5.5-xhigh,gpt-5.5,xhigh,adjudicated_correct,run-0011-control,11,control,True,resolved,5178,False,False,True,10,0,21
gpt-5.5-xhigh,gpt-5.5,xhigh,adjudicated_correct,run-0012-treatment,12,treatment,False,resolved,516,True,False,True,1,0,29
gpt-5.5-xhigh,gpt-5.5,xhigh,adjudicated_correct,run-0013-treatment,13,treatment,False,resolved,1034,False,True,True,2,0,29
gpt-5.5-xhigh,gpt-5.5,xhigh,adjudicated_correct,run-0014-control,14,control,True,ambiguous,3106,False,False,True,6,0,12
gpt-5.5-xhigh,gpt-5.5,xhigh,adjudicated_correct,run-0015-control,15,control,False,resolved,516,True,False,True,1,0,29
gpt-5.5-xhigh,gpt-5.5,xhigh,adjudicated_correct,run-0016-treatment,16,treatment,False,resolved,516,True,False,True,1,0,29
gpt-5.5-xhigh,gpt-5.5,xhigh,adjudicated_correct,run-0017-control,17,control,False,resolved,516,True,False,True,1,0,29
gpt-5.5-xhigh,gpt-5.5,xhigh,adjudicated_correct,run-0018-treatment,18,treatment,True,resolved,6160,False,False,False,,-54,21
gpt-5.5-xhigh,gpt-5.5,xhigh,adjudicated_correct,run-0019-treatment,19,treatment,False,resolved,516,True,False,True,1,0,29
gpt-5.5-xhigh,gpt-5.5,xhigh,adjudicated_correct,run-0020-control,20,control,False,resolved,1034,False,True,True,2,0,29
gpt-5.5-xhigh,gpt-5.5,xhigh,adjudicated_correct,run-0021-treatment,21,treatment,False,resolved,516,True,False,True,1,0,29
gpt-5.5-xhigh,gpt-5.5,xhigh,adjudicated_correct,run-0022-control,22,control,False,resolved,516,True,False,True,1,0,27
gpt-5.5-xhigh,gpt-5.5,xhigh,adjudicated_correct,run-0023-treatment,23,treatment,False,resolved,516,True,False,True,1,0,27
gpt-5.5-xhigh,gpt-5.5,xhigh,adjudicated_correct,run-0024-control,24,control,False,resolved,516,True,False,True,1,0,29
gpt-5.5-xhigh,gpt-5.5,xhigh,adjudicated_correct,run-0025-control,25,control,True,resolved,4660,False,False,True,9,0,21
gpt-5.5-xhigh,gpt-5.5,xhigh,adjudicated_correct,run-0026-treatment,26,treatment,False,resolved,516,True,False,True,1,0,29
gpt-5.5-xhigh,gpt-5.5,xhigh,adjudicated_correct,run-0027-treatment,27,treatment,False,resolved,516,True,False,True,1,0,29
gpt-5.5-xhigh,gpt-5.5,xhigh,adjudicated_correct,run-0028-control,28,control,True,resolved,4660,False,False,True,9,0,21
gpt-5.5-xhigh,gpt-5.5,xhigh,adjudicated_correct,run-0029-control,29,control,False,resolved,516,True,False,True,1,0,20
gpt-5.5-xhigh,gpt-5.5,xhigh,adjudicated_correct,run-0030-treatment,30,treatment,False,resolved,516,True,False,True,1,0,29
gpt-5.5-xhigh,gpt-5.5,xhigh,adjudicated_correct,run-0031-control,31,control,False,resolved,516,True,False,True,1,0,29
gpt-5.5-xhigh,gpt-5.5,xhigh,adjudicated_correct,run-0032-treatment,32,treatment,False,resolved,516,True,False,True,1,0,29
gpt-5.5-xhigh,gpt-5.5,xhigh,adjudicated_correct,run-0033-control,33,control,False,resolved,516,True,False,True,1,0,38
gpt-5.5-xhigh,gpt-5.5,xhigh,adjudicated_correct,run-0034-treatment,34,treatment,False,resolved,516,True,False,True,1,0,29
gpt-5.5-xhigh,gpt-5.5,xhigh,adjudicated_correct,run-0035-control,35,control,True,resolved,4142,False,False,True,8,0,21
gpt-5.5-xhigh,gpt-5.5,xhigh,adjudicated_correct,run-0036-treatment,36,treatment,False,resolved,516,True,False,True,1,0,29
gpt-5.5-xhigh,gpt-5.5,xhigh,adjudicated_correct,run-0037-treatment,37,treatment,True,resolved,2588,False,False,True,5,0,21
gpt-5.5-xhigh,gpt-5.5,xhigh,adjudicated_correct,run-0038-control,38,control,False,resolved,516,True,False,True,1,0,29
